word,score
horrendous,0.85930797
assclown,0.85759939
lascivious,0.85573514
muppet,0.85490587
negress,0.8521835
yid,0.85172541
brute,0.85086414
clod,0.85025523
hokey,0.84987924
delinquent,0.84926546
spew,0.84654809
homewrecker,0.84560352
ditzy,0.84507779
rudeness,0.84390825
creepo,0.84273528
adultery,0.83809572
weakling,0.83782094
yutz,0.83505517
derogatory,0.83495128
dowdy,0.8342264
twunt,0.8337055
quim,0.83326505
barbarity,0.83168417
impertinent,0.83128123
puta,0.83087808
vainglorious,0.83080363
incorrigible,0.82846546
backbiting,0.8283103
twaddle,0.8281349
cheeky,0.82641822
sissy,0.82582692
glowering,0.8255463
cruddy,0.82534251
catty,0.82496345
poontang,0.82350824
smeghead,0.82307782
dogshit,0.82185191
schlong,0.82112832
weeb,0.82082106
avarice,0.81987103
gino,0.81512828
wart,0.81482631
nitpicking,0.81455741
bogus,0.81428325
evilness,0.81329199
gyp,0.81232452
demean,0.81226114
naught,0.81180512
scumbucket,0.81011947
coolie,0.80946709
disgrace,0.80881593
cholo,0.80858151
hurtful,0.80836521
horseshit,0.80715121
niggy,0.80691376
toots,0.80521884
sleazoid,0.80438777
negligence,0.80277915
lurk,0.80245677
effeminate,0.80192502
vokills,0.80171023
wacky,0.80163914
submissive,0.80138749
uppity,0.80082828
anorexic,0.80020255
grotesque,0.79830569
hammy,0.79749653
pettiness,0.79637633
mouthy,0.7959403
flamer,0.79526455
harlot,0.79520398
fuckoff,0.79510605
spack,0.79377432
pointless,0.79288188
malignant,0.79280349
artfag,0.79160679
puerile,0.79156959
monstrous,0.79138961
gimboid,0.79115486
snobbish,0.79026821
arsed,0.78986094
jigaboo,0.78872745
boaster,0.78820348
queer,0.78698259
boff,0.78519179
muppetry,0.78489145
henchman,0.78393561
stank,0.78387631
leer,0.78346163
deceiver,0.78269834
suicidal,0.78248207
swindler,0.78118151
cringe,0.78089472
shitter,0.77947343
cantankerous,0.77908849
laughable,0.77807155
fuckface,0.77712909
renegade,0.77679504
mucky,0.77631615
girlyman,0.77615973
hokum,0.77573506
crabby,0.77442302
pout,0.77370948
vicious,0.77359326
vapid,0.77320863
atrocious,0.77220016
dunce,0.77172613
menial,0.77151922
fuckdoll,0.7692732
ignoranus,0.76713197
damning,0.76523465
gippo,0.76521374
weeaboo,0.76395089
laziness,0.76255351
lech,0.76227668
crooked,0.76205019
goof,0.76169365
hobgoblin,0.76156466
nag,0.76113111
dilettante,0.76078804
slickster,0.76032546
fuckbrain,0.7592649
envy,0.75918272
paranoid,0.75889071
prissy,0.75842899
pindick,0.75832378
grouchy,0.75683198
spearchucker,0.75652743
dickster,0.75610765
envy,0.75594172
pisspot,0.75589485
slumlord,0.75524391
piffle,0.75496099
